,metrics,function,a,c,k,upper_bound
0,total_assets,Log,1,200,0.000000529,10000000
1,consumer_rating,Linear,,,,5
2,active_regions,Log,1,200,0.2647,20
3,age,Log,1,200,0.10588,50
4,number_of_employee,Log,1,200,0.010588,500
5,revenue,Log,1,200,0.00000106,5000000
6,office_locations,Boolean,,,,
7,stock_performance,Log,1,200,0.035293333,150
8,financial_situation,Linear,,,,1
9,website,Boolean,,,,
10,social_media_activity,Log,1,200,0.00000529,1000000
11,media_coverage,Log,1,200,0.000000529,10000000
12,employee_diversity,Boolean,,,,
13,community_outreach,Boolean,,,,
14,number_of_individual_from_the_company,Log,1,200,0.05294,100
15,sum_of_the_individuals_impact_scores,Log,1,200,0.003529333,1500
16,mean_of_the_individuals_impact_scores,Log,1,200,0.21176,25
17,number_of_upload,Log,1,200,0.101807692,52
18,sum_of_the_number_of_views,Log,1,200,0.000352933,15000
19,mean_of_the_number_of_views,Log,1,200,0.010588,500
20,sum_of_the_rating_score,Log,1,200,0.021176,250
21,mean_of_the_rating_score,Linear,,,1.0588,5
22,sum_of_the_number_of_comment,Log,1,200,0.050903846,104
23,mean_of_the_number_of_comment,Log,1,200,1.0588,5
24,sum_of_the_number_of_followers,Log,1,200,0.10588,50
25,sum_of_the_number_of_competition_completed,Linear,,,,4
26,proportion_of_the_company_employees_involved,Linear,,,,1
27,number_of_self_organization_comment,Log,1,200,0.21176,25
28,number_of_self_organization_rating,Log,1,200,0.21176,25
29,number_of_self_organization_follower,Log,1,200,0.05294,100
30,employee_average_salary,Linear,,,,102960
31,retention_rate,Linear,,,,1
32,employee_benefits,Linear,,,,5
33,international_student_employee_rate,Linear,,,,0.5
